Provinsi,PPM,AMH,APS,PM,PBM,PAK_L,PAK_P
ACEH,14.75,98.25,83.1,56.64,43.36,81.06,46.15
SUMATERA UTARA,8.33,99.11,78.66,54.58,45.42,83.89,55.37
SUMATERA BARAT,6.04,99.29,83.71,53.33,46.67,82.58,56.28
RIAU,6.84,99.18,77.32,51.28,48.72,83.59,43.28
JAMBI,7.7,98.1,72.53,52.54,47.46,86.17,48.97
SUMATERA SELATAN,11.95,98.65,70.93,54.03,45.97,84.95,53.32
BENGKULU,14.34,97.8,79.31,52.34,47.66,84.72,54.36
LAMPUNG,11.44,97.25,71.14,53.55,46.45,85.84,53.54
KEP. BANGKA BELITUNG,4.61,98.17,68.42,53.29,46.71,86.02,47.55
KEP. RIAU,6.03,99.02,84.54,46.2,53.8,86.44,50.68
DKI JAKARTA,4.61,99.69,72.1,37.75,62.25,80.02,46.62
JAWA BARAT,7.98,98.49,68.66,49.28,50.72,83.93,48.01
JAWA TENGAH,10.98,94.26,70.82,51.06,48.94,83.74,58.31
DI YOGYAKARTA,11.49,95.15,89.95,42.48,57.52,82.22,63.38
JAWA TIMUR,10.49,93.32,73.4,51.57,48.43,85.76,57.28
BANTEN,6.24,98.16,69.22,51.25,48.75,81.69,47.17
BALI,4.53,95.53,83.84,42.27,57.73,84.06,69.62
NUSA TENGGARA BARAT,13.82,88.97,77.43,57.46,42.54,83.27,59.16
NUSA TENGGARA TIMUR,20.23,94.63,75.55,54.38,45.62,82.85,67.87
KALIMANTAN BARAT,6.81,93.96,68.72,54.04,45.96,85.01,52.51
KALIMANTAN TENGAH,5.22,99.12,66.32,52.88,47.12,85.17,47.68
KALIMANTAN SELATAN,4.61,98.36,69.88,51.71,48.29,82.97,51.9
KALIMANTAN TIMUR,6.44,98.97,81.43,45.25,54.75,82.74,45.17
KALIMANTAN UTARA,6.86,97.71,76.5,48.3,51.7,83.67,49.3
SULAWESI UTARA,7.34,99.81,74.33,54.51,45.49,80.77,44.79
SULAWESI TENGAH,12.3,98.05,75.84,51.84,48.16,85.83,53.71
SULAWESI SELATAN,8.66,93.31,70.81,49.56,50.44,82.91,50.46
SULAWESI TENGGARA,11.27,95.79,74.53,48.13,51.87,82.91,54.94
GORONTALO,15.51,98.42,71.68,46.76,53.24,85.3,52.64
SULAWESI BARAT,11.92,93.82,70.85,51.46,48.54,87.71,58.22
MALUKU,16.23,99.4,79.03,50.39,49.61,78.33,52.47
MALUKU UTARA,6.37,98.78,77.7,51.85,48.15,82.29,46.87
PAPUA BARAT,21.43,97.64,80.56,49.97,50.03,80.88,54.63
PAPUA,26.8,81.19,65.93,59,41,85.49,69.09
