Provinsi,JMP,AMH,APS,PAK,Pengeluaran,TPT,PS
ACEH,818.47,98.25,83.1,127.21,1180132.93,6.17,693
SUMATERA UTARA,1262.09,99.11,78.66,139.26,1216496.65,6.16,982
SUMATERA BARAT,343.82,99.29,83.71,138.86,1342985.51,6.28,212
RIAU,493.13,99.18,77.32,126.87,1425170.86,4.37,389
JAMBI,283.82,98.1,72.53,135.14,1261836.78,4.59,203
SUMATERA SELATAN,1054.99,98.65,70.93,138.27,1148812.47,4.63,340
BENGKULU,292.93,97.8,79.31,139.08,1196483.76,3.59,175
LAMPUNG,995.59,97.25,71.14,139.38,1074987.43,4.52,225
KEP. BANGKA BELITUNG,69.69,98.17,68.42,133.57,1654280.53,4.77,23
KEP. RIAU,148.89,99.02,84.54,137.12,1831700.4,8.23,31
DKI JAKARTA,494.93,99.69,72.1,126.64,2525347.37,7.18,414
JAWA BARAT,4053.62,98.49,68.66,131.94,1437394.12,8.31,712
JAWA TENGAH,3858.23,94.26,70.82,142.05,1121793.86,5.57,126
DI YOGYAKARTA,463.63,95.15,89.95,145.6,1480374.28,4.06,8
JAWA TIMUR,4236.51,93.32,73.4,143.04,1165137.91,5.49,734
BANTEN,829.66,98.16,69.22,128.86,1619571.71,8.09,366
BALI,205.36,95.53,83.84,153.68,1442609.77,4.8,15
NUSA TENGGARA BARAT,744.69,88.97,77.43,142.43,1160662.07,2.89,390
NUSA TENGGARA TIMUR,1149.17,94.63,75.55,150.72,884102.08,3.54,658
KALIMANTAN BARAT,356.51,93.96,68.72,137.52,1232618.22,5.11,333
KALIMANTAN TENGAH,144.52,99.12,66.32,132.85,1442295.24,4.26,95
KALIMANTAN SELATAN,201.95,98.36,69.88,134.87,1407718.94,4.74,112
KALIMANTAN TIMUR,242.3,98.97,81.43,127.91,1797485.53,5.71,130
KALIMANTAN UTARA,50.58,97.71,76.5,132.97,1570185.98,4.33,20
SULAWESI UTARA,187.33,99.81,74.33,125.56,1236705.51,6.61,142
SULAWESI TENGAH,389.71,98.05,75.84,139.54,1083678.96,3,207
SULAWESI SELATAN,782.32,93.31,70.81,133.37,1142611.7,4.51,771
SULAWESI TENGGARA,314.74,95.79,74.53,137.85,1111595.3,3.36,238
GORONTALO,187.35,98.42,71.68,137.94,1142996.73,2.58,108
SULAWESI BARAT,169.26,93.82,70.85,145.93,955905.28,2.34,60
MALUKU,296.66,99.4,79.03,130.8,1169828.33,6.88,299
MALUKU UTARA,82.13,98.78,77.7,129.16,1128586.35,3.98,167
PAPUA BARAT,222.36,97.64,80.56,135.51,1448505.39,5.37,91
PAPUA,936.32,81.19,65.93,154.58,1454320.71,2.83,586
