Provinsi,PPM,AMH,APS,PAK,TPT,Luas,PM,PBM
ACEH,14.75,98.25,83.1,127.21,6.17,7.47,56.64,43.36
SUMATERA UTARA,8.33,99.11,78.66,139.26,6.16,8.79,54.58,45.42
SUMATERA BARAT,6.04,99.29,83.71,138.86,6.28,6.39,53.33,46.67
RIAU,6.84,99.18,77.32,126.87,4.37,7.56,51.28,48.72
JAMBI,7.7,98.1,72.53,135.14,4.59,3.9,52.54,47.46
SUMATERA SELATAN,11.95,98.65,70.93,138.27,4.63,10.53,54.03,45.97
BENGKULU,14.34,97.8,79.31,139.08,3.59,6.27,52.34,47.66
LAMPUNG,11.44,97.25,71.14,139.38,4.52,2.5,53.55,46.45
KEP. BANGKA BELITUNG,4.61,98.17,68.42,133.57,4.77,3.81,53.29,46.71
KEP. RIAU,6.03,99.02,84.54,137.12,8.23,6.97,46.2,53.8
DKI JAKARTA,4.61,99.69,72.1,126.64,7.18,21.39,37.75,62.25
JAWA BARAT,7.98,98.49,68.66,131.94,8.31,7.83,49.28,50.72
JAWA TENGAH,10.98,94.26,70.82,142.05,5.57,2.03,51.06,48.94
DI YOGYAKARTA,11.49,95.15,89.95,145.6,4.06,3.96,42.48,57.52
JAWA TIMUR,10.49,93.32,73.4,143.04,5.49,3.9,51.57,48.43
BANTEN,6.24,98.16,69.22,128.86,8.09,4.58,51.25,48.75
BALI,4.53,95.53,83.84,153.68,4.8,9.06,42.27,57.73
NUSA TENGGARA BARAT,13.82,88.97,77.43,142.43,2.89,10.75,57.46,42.54
NUSA TENGGARA TIMUR,20.23,94.63,75.55,150.72,3.54,14.67,54.38,45.62
KALIMANTAN BARAT,6.81,93.96,68.72,137.52,5.11,5.84,54.04,45.96
KALIMANTAN TENGAH,5.22,99.12,66.32,132.85,4.26,6.46,52.88,47.12
KALIMANTAN SELATAN,4.61,98.36,69.88,134.87,4.74,6.6,51.71,48.29
KALIMANTAN TIMUR,6.44,98.97,81.43,127.91,5.71,6.74,45.25,54.75
KALIMANTAN UTARA,6.86,97.71,76.5,132.97,4.33,8.48,48.3,51.7
SULAWESI UTARA,7.34,99.81,74.33,125.56,6.61,8.43,54.51,45.49
SULAWESI TENGAH,12.3,98.05,75.84,139.54,3,13.14,51.84,48.16
SULAWESI SELATAN,8.66,93.31,70.81,133.37,4.51,6.59,49.56,50.44
SULAWESI TENGGARA,11.27,95.79,74.53,137.85,3.36,8.29,48.13,51.87
GORONTALO,15.51,98.42,71.68,137.94,2.58,12.1,46.76,53.24
SULAWESI BARAT,11.92,93.82,70.85,145.93,2.34,9.74,51.46,48.54
MALUKU,16.23,99.4,79.03,130.8,6.88,13.27,50.39,49.61
MALUKU UTARA,6.37,98.78,77.7,129.16,3.98,6.9,51.85,48.15
PAPUA BARAT,21.43,97.64,80.56,135.51,5.37,12.66,49.97,50.03
PAPUA,26.8,81.19,65.93,154.58,2.83,29.74,59,41
