Provinsi,JMP,AMH,APS,PAK,TPT
ACEH,818.47,98.25,83.1,127.21,6.17
SUMATERA UTARA,1262.09,99.11,78.66,139.26,6.16
SUMATERA BARAT,343.82,99.29,83.71,138.86,6.28
RIAU,493.13,99.18,77.32,126.87,4.37
JAMBI,283.82,98.1,72.53,135.14,4.59
SUMATERA SELATAN,1054.99,98.65,70.93,138.27,4.63
BENGKULU,292.93,97.8,79.31,139.08,3.59
LAMPUNG,995.59,97.25,71.14,139.38,4.52
KEP. BANGKA BELITUNG,69.69,98.17,68.42,133.57,4.77
KEP. RIAU,148.89,99.02,84.54,137.12,8.23
DKI JAKARTA,494.93,99.69,72.1,126.64,7.18
JAWA BARAT,4053.62,98.49,68.66,131.94,8.31
JAWA TENGAH,3858.23,94.26,70.82,142.05,5.57
DI YOGYAKARTA,463.63,95.15,89.95,145.6,4.06
JAWA TIMUR,4236.51,93.32,73.4,143.04,5.49
BANTEN,829.66,98.16,69.22,128.86,8.09
BALI,205.36,95.53,83.84,153.68,4.8
NUSA TENGGARA BARAT,744.69,88.97,77.43,142.43,2.89
NUSA TENGGARA TIMUR,1149.17,94.63,75.55,150.72,3.54
KALIMANTAN BARAT,356.51,93.96,68.72,137.52,5.11
KALIMANTAN TENGAH,144.52,99.12,66.32,132.85,4.26
KALIMANTAN SELATAN,201.95,98.36,69.88,134.87,4.74
KALIMANTAN TIMUR,242.3,98.97,81.43,127.91,5.71
KALIMANTAN UTARA,50.58,97.71,76.5,132.97,4.33
SULAWESI UTARA,187.33,99.81,74.33,125.56,6.61
SULAWESI TENGAH,389.71,98.05,75.84,139.54,3
SULAWESI SELATAN,782.32,93.31,70.81,133.37,4.51
SULAWESI TENGGARA,314.74,95.79,74.53,137.85,3.36
GORONTALO,187.35,98.42,71.68,137.94,2.58
SULAWESI BARAT,169.26,93.82,70.85,145.93,2.34
MALUKU,296.66,99.4,79.03,130.8,6.88
MALUKU UTARA,82.13,98.78,77.7,129.16,3.98
PAPUA BARAT,222.36,97.64,80.56,135.51,5.37
PAPUA,936.32,81.19,65.93,154.58,2.83
